id, latitude, longitude, timestamp, executionTime
0, -22.923943, -43.177799, 2020-03-14T17:14:50.689Z, 1488
1, -22.924776, -43.179428, 2020-03-14T17:16:00.694Z, 2868
2, -22.925875, -43.179329, 2020-03-14T17:16:35.701Z, 2952
3, -22.928761, -43.179279, 2020-03-14T17:17:45.712Z, 2189
4, -22.930351, -43.178955, 2020-03-14T17:18:55.723Z, 3281
5, -22.930725, -43.179085, 2020-03-14T17:19:30.729Z, 1840
6, -22.931084, -43.179314, 2020-03-14T17:20:39.741Z, 1574
7, -22.931461, -43.179459, 2020-03-14T17:21:50.755Z, 1841
8, -22.932478, -43.182209, 2020-03-14T17:23:00.770Z, 2460
9, -22.932751, -43.183285, 2020-03-14T17:23:35.782Z, 2371
10, -22.93276, -43.183285, 2020-03-14T17:24:09.791Z, 2638
